"국가",2015,2016,2017,2018,2019,2020
"베트남",193241108709.536 (US$),205276172134.901 (US$),223779865815.183 (US$),245213686369.157 (US$),261921244843.172 (US$),271158442059.082 (US$)
"예멘",42445102386.605 (US$),30933825064.366 (US$),26736138944.556 (US$),23486269598.986 (US$),-,-
"잠비아",21251216798.776 (US$),20958412538.309 (US$),25873601260.835 (US$),26311637646.654 (US$),23308688906.129 (US$),19320053859.279 (US$)
"짐바브웨",19963120600.000 (US$),20548678100.000 (US$),19015327919.109 (US$),19523622341.613 (US$),16932434838.693 (US$),16768513442.642 (US$)
"맨섬",7085288006.112 (US$),6846691871.456 (US$),6979581724.582 (US$),7491969312.875 (US$),-,-
"코소보",6442915788.306 (US$),6719172016.825 (US$),7245707184.817 (US$),7942961738.309 (US$),7953156068.070 (US$),7611402165.242 (US$)
"몬테네그로",4054712082.547 (US$),4377033429.267 (US$),4856632399.458 (US$),5506767831.838 (US$),5542674764.890 (US$),4778582336.182 (US$)
"세르비아",39655958842.548 (US$),40692643373.033 (US$),44179055279.889 (US$),50640650221.462 (US$),51475016532.129 (US$),52960134078.689 (US$)
"터크스케이커스제도",942070000.000 (US$),1032452000.000 (US$),1022365000.000 (US$),1113178000.000 (US$),1197415000.000 (US$),924583000.000 (US$)
"투발루",35492074.224 (US$),36547799.584 (US$),40619251.993 (US$),42588164.973 (US$),47271463.330 (US$),48855550.203 (US$)
"미국령버진아일랜드",3748000000.000 (US$),3873000000.000 (US$),3893000000.000 (US$),3984000000.000 (US$),-,-
"세계",75233025087096.800 (US$),76429054392645.200 (US$),81359536181832.300 (US$),86347154919771.900 (US$),87607919950618.100 (US$),84705567115370.000 (US$)
