국가별,평균교육기간(년),1인당 GNI(구매력환산기준 2011) (달러)
　　　탄자니아,6,"2,805"
　　　토고,5,"1,593"
　　　튀니지,7.2,"10,677"
　　　우간다,6.1,"1,752"
　　　잠비아,7.1,"3,582"
　　　짐바브웨,8.3,"2,661"
오세아니아,,
　　　오스트레일리아,12.7,"44,097"
　　　피지,10.9,"9,110"
　　　키리바시,7.9,"3,917"
　　　마셜제도,10.9,"4,633"
　　　미크로네시아,7.7,"3,700"
　　　나우루,-,"17,313"
　　　뉴질랜드,12.7,"35,108"
　　　팔라우,12.4,"16,720"
　　　파푸아뉴기니,4.6,"3,686"
　　　사모아,10.6,"5,885"
　　　솔로몬제도,5.5,"2,027"
　　　통가,11.2,"5,783"
　　　투발루,-,"5,409"
　　　바누아투,6.8,"2,808"
