국가,2018;국내총생산(GDP $),2019;국내총생산(GDP $),합계출산;2015,합계출산;2020,도시화율;2020,평균교육기간(년);2018,1인당 GNI(구매력환산기준 2011) (달러);2018,2020;연간 인구증가율,2020;0~14세 인구 구성비,2020;15~64세 인구 구성비,2020;65세이상 인구 구성비,ISO(2자리),sub-region
파라과이,40225448340.632 (US$),37906944074.613 (US$),2.6,2.45,62.2,8.5,"11,720",1.240 (annual %),28.894 (% of total),64.296 (% of total),6.811 (% of total),PY,Latin America and the Caribbean
페루,222574697255.522 (US$),228470919605.669 (US$),2.4,2.27,78.3,9.2,"12,323",1.409 (annual %),24.692 (% of total),66.583 (% of total),8.725 (% of total),PE,Latin America and the Caribbean
필리핀,346842094174.513 (US$),376823278560.849 (US$),3.05,2.58,47.4,9.4,"9,540",1.345 (annual %),30.043 (% of total),64.446 (% of total),5.512 (% of total),PH,South-eastern Asia
폴란드,587408980271.710 (US$),595862086928.211 (US$),1.33,1.42,60.0,12.3,"27,626",-0.039 (annual %),15.218 (% of total),66.043 (% of total),18.739 (% of total),PL,Eastern Europe
포르투갈,242313116577.967 (US$),239510770948.274 (US$),1.28,1.29,66.3,9.2,"27,935",0.187 (annual %),13.054 (% of total),64.174 (% of total),22.772 (% of total),PT,Southern Europe
푸에르토리코,100925000000.000 (US$),104914600000.000 (US$),1.5,1.22,93.6,,,0.011 (annual %),15.752 (% of total),63.420 (% of total),20.827 (% of total),PR,Latin America and the Caribbean
카타르,183334953813.209 (US$),175837550996.185 (US$),2.0,1.88,99.2,9.7,"110,489",1.715 (annual %),13.639 (% of total),84.672 (% of total),1.689 (% of total),QA,Western Asia
루마니아,241457403085.042 (US$),249696854574.199 (US$),1.51,1.62,54.2,11.0,"23,906",-0.442 (annual %),15.521 (% of total),65.248 (% of total),19.231 (% of total),RO,Eastern Europe
러시아,1657328865709.990 (US$),1687448525466.610 (US$),1.7,1.82,74.8,12.0,"25,036",-0.209 (annual %),18.362 (% of total),66.129 (% of total),15.509 (% of total),RU,Eastern Europe
르완다,9640280084.196 (US$),10355974217.374 (US$),4.25,4.1,17.4,4.4,"1,959",2.543 (annual %),39.474 (% of total),57.406 (% of total),3.119 (% of total),RW,Sub-Saharan Africa
사모아,821496064.526 (US$),852250190.985 (US$),4.16,3.9,,10.6,"5,885",0.666 (annual %),37.198 (% of total),57.718 (% of total),5.084 (% of total),WS,Polynesia
산마리노,1655300872.534 (US$),1616369645.996 (US$),,,97.5,,,0.218 (annual %),,,,SM,Southern Europe
상투메프린시페,412253809.729 (US$),427425039.684 (US$),4.6,4.35,74.4,6.4,"3,024",1.895 (annual %),41.758 (% of total),55.234 (% of total),3.008 (% of total),ST,Sub-Saharan Africa
사우디아라비아,786521831573.333 (US$),792966838160.000 (US$),2.73,2.34,84.3,9.7,"49,338",1.579 (annual %),24.696 (% of total),71.805 (% of total),3.498 (% of total),SA,Western Asia
세네갈,23116699808.172 (US$),23306213742.360 (US$),5.0,4.65,48.1,3.1,"3,256",2.709 (annual %),42.592 (% of total),54.300 (% of total),3.108 (% of total),SN,Sub-Saharan Africa
세이셸,1586008999.748 (US$),1581380268.643 (US$),2.38,2.46,57.5,9.7,"25,077",0.854 (annual %),23.767 (% of total),68.167 (% of total),8.066 (% of total),SC,Sub-Saharan Africa
시에라리온,4085114794.223 (US$),4121733705.292 (US$),4.84,4.32,42.9,3.6,"1,381",2.075 (annual %),40.344 (% of total),56.729 (% of total),2.927 (% of total),SL,Sub-Saharan Africa
싱가포르,375981539145.907 (US$),374386306993.109 (US$),1.23,1.21,100.0,11.5,"83,793",-0.312 (annual %),12.301 (% of total),74.347 (% of total),13.352 (% of total),SG,South-eastern Asia
슬로바키아,105526182493.787 (US$),105119160234.117 (US$),1.38,1.5,53.8,12.6,"30,672",0.086 (annual %),15.554 (% of total),67.747 (% of total),16.699 (% of total),SK,Eastern Europe
슬로베니아,54161636034.652 (US$),54174227308.886 (US$),1.58,1.6,55.1,12.3,"32,143",0.561 (annual %),15.136 (% of total),64.126 (% of total),20.738 (% of total),SI,Southern Europe
솔로몬제도,1574599182.647 (US$),1570215577.361 (US$),4.44,4.44,,5.5,"2,027",2.515 (annual %),40.030 (% of total),56.299 (% of total),3.671 (% of total),SB,Melanesia
소말리아,4720727283.205 (US$),4942319040.698 (US$),6.61,6.12,46.1,,,2.874 (annual %),46.150 (% of total),50.948 (% of total),2.902 (% of total),SO,Sub-Saharan Africa
남아프리카공화국,368288939768.322 (US$),351431649241.439 (US$),2.55,2.41,67.4,10.2,"11,756",1.273 (annual %),28.801 (% of total),65.689 (% of total),5.509 (% of total),ZA,Sub-Saharan Africa
스페인,1422153839840.780 (US$),1393490524517.640 (US$),1.33,1.33,80.8,9.8,"35,041",0.462 (annual %),14.399 (% of total),65.623 (% of total),19.978 (% of total),ES,Southern Europe
스리랑카,87954272082.107 (US$),83975584254.403 (US$),2.21,2.21,18.7,11.1,"11,611",0.531 (annual %),23.685 (% of total),65.082 (% of total),11.233 (% of total),LK,Southern Asia
세인트키츠네비스,1010822222.222 (US$),1044711111.111 (US$),,,30.8,8.5,"26,770",0.675 (annual %),,,,,
세인트루시아,2065875074.074 (US$),2122450629.630 (US$),1.51,1.44,18.8,8.5,"11,528",0.455 (annual %),17.953 (% of total),71.751 (% of total),10.296 (% of total),,
세인트빈센트그레나딘,811300000.000 (US$),824718518.519 (US$),2.01,1.9,53.0,8.6,"11,746",0.320 (annual %),21.902 (% of total),68.188 (% of total),9.910 (% of total),,
수단,34522586970.002 (US$),32250448249.460 (US$),4.75,4.43,35.3,3.7,"3,962",2.391 (annual %),39.799 (% of total),56.527 (% of total),3.674 (% of total),SD,Northern Africa
수리남,3996247906.198 (US$),4221373022.258 (US$),2.56,2.43,66.1,9.1,"11,933",0.903 (annual %),26.665 (% of total),66.200 (% of total),7.135 (% of total),SR,Latin America and the Caribbean
에스와티니,4665424249.062 (US$),4471598726.644 (US$),3.14,3.03,24.2,6.7,"9,359",1.042 (annual %),37.443 (% of total),58.545 (% of total),4.012 (% of total),SZ,Sub-Saharan Africa
스웨덴,555455371487.089 (US$),531283304459.667 (US$),1.9,1.85,88.0,12.4,"47,955",0.723 (annual %),17.624 (% of total),62.048 (% of total),20.329 (% of total),SE,Northern Europe
스위스,735889205256.251 (US$),731474367940.429 (US$),1.53,1.54,73.9,13.4,"59,375",0.716 (annual %),14.959 (% of total),65.944 (% of total),19.098 (% of total),CH,Western Europe
타지키스탄,7765014424.338 (US$),8300784856.879 (US$),3.61,3.61,27.5,10.7,"3,482",2.297 (annual %),37.270 (% of total),59.550 (% of total),3.180 (% of total),TJ,Central Asia
탄자니아,57003713748.232 (US$),61136873747.332 (US$),5.24,4.92,35.2,6.0,"2,805",2.937 (annual %),43.554 (% of total),53.802 (% of total),2.644 (% of total),TZ,Sub-Saharan Africa
태국,506611070188.362 (US$),544263968873.601 (US$),1.53,1.53,51.4,7.7,"16,129",0.250 (annual %),16.553 (% of total),70.490 (% of total),12.958 (% of total),TH,South-eastern Asia
동티모르,1559894900.000 (US$),2017924900.000 (US$),,,31.3,4.5,"7,527",1.939 (annual %),36.832 (% of total),58.885 (% of total),4.283 (% of total),TL,South-eastern Asia
토고,7112200725.002 (US$),7220395247.742 (US$),4.69,4.35,42.8,5.0,"1,593",2.401 (annual %),40.636 (% of total),56.459 (% of total),2.905 (% of total),TG,Sub-Saharan Africa
통가,489235527.395 (US$),512350059.422 (US$),3.79,3.58,,11.2,"5,783",1.142 (annual %),34.765 (% of total),59.315 (% of total),5.920 (% of total),TO,Polynesia
트리니다드토바고,23679919654.989 (US$),23208326547.533 (US$),1.8,1.73,53.2,11.0,"28,497",0.324 (annual %),20.062 (% of total),68.423 (% of total),11.515 (% of total),TT,Latin America and the Caribbean
튀니지,39770478673.165 (US$),39195716330.425 (US$),2.25,2.2,69.6,7.2,"10,677",1.054 (annual %),24.291 (% of total),66.836 (% of total),8.873 (% of total),TN,Northern Africa
터키,778377023568.884 (US$),761428183369.171 (US$),2.12,2.08,76.1,7.7,"24,905",1.084 (annual %),23.942 (% of total),67.077 (% of total),8.981 (% of total),TR,Western Asia
투르크메니스탄,40765428571.429 (US$),45231428571.429 (US$),3.0,2.79,52.5,9.8,"16,407",1.488 (annual %),30.792 (% of total),64.440 (% of total),4.768 (% of total),TM,Central Asia
우간다,32912338571.340 (US$),35170037380.863 (US$),5.78,5.01,25.0,6.1,"1,752",3.270 (annual %),46.016 (% of total),51.998 (% of total),1.986 (% of total),UG,Sub-Saharan Africa
우크라이나,130901858421.720 (US$),153929501862.341 (US$),1.49,1.44,69.6,11.3,"7,994",-0.568 (annual %),15.991 (% of total),67.060 (% of total),16.949 (% of total),UA,Eastern Europe
아랍에미리트,422215043594.282 (US$),421142267937.372 (US$),1.7,1.42,87.0,11.0,"66,912",1.219 (annual %),14.814 (% of total),83.922 (% of total),1.264 (% of total),AE,Western Asia
영국,2857507502963.100 (US$),2830813507746.870 (US$),1.87,1.75,83.9,13.0,"39,507",0.565 (annual %),17.677 (% of total),63.669 (% of total),18.653 (% of total),GB,Northern Europe
미국,20611860934000.000 (US$),21433224697000.000 (US$),1.88,1.78,82.7,13.4,"56,140",0.351 (annual %),18.372 (% of total),64.997 (% of total),16.631 (% of total),US,Northern America
우루과이,64515038268.137 (US$),61231149880.586 (US$),2.01,1.98,95.5,8.7,"19,435",0.346 (annual %),20.335 (% of total),64.577 (% of total),15.088 (% of total),UY,Latin America and the Caribbean
우즈베키스탄,50392607758.232 (US$),57726542784.920 (US$),2.43,2.43,50.4,11.5,"6,462",1.922 (annual %),28.800 (% of total),66.411 (% of total),4.789 (% of total),UZ,Central Asia
바누아투,914727908.138 (US$),930337960.037 (US$),4.0,3.8,,6.8,"2,808",2.395 (annual %),38.410 (% of total),57.981 (% of total),3.609 (% of total),VU,Melanesia
베트남,245213686369.157 (US$),261921244843.172 (US$),1.96,2.06,37.3,8.2,"6,220",0.905 (annual %),23.194 (% of total),68.940 (% of total),7.866 (% of total),VN,South-eastern Asia
예멘,23486269598.986 (US$),,4.4,3.84,37.9,3.2,"1,433",2.252 (annual %),38.832 (% of total),58.237 (% of total),2.931 (% of total),YE,Western Asia
잠비아,26311637646.654 (US$),23308688906.129 (US$),5.2,4.66,44.6,7.1,"3,582",2.886 (annual %),44.017 (% of total),53.851 (% of total),2.132 (% of total),ZM,Sub-Saharan Africa
짐바브웨,19523622341.613 (US$),16932434838.693 (US$),4.09,3.63,32.2,8.3,"2,661",1.474 (annual %),41.911 (% of total),55.075 (% of total),3.014 (% of total),ZW,Sub-Saharan Africa
맨섬,7491969312.875 (US$),,,,52.9,,,0.522 (annual %),,,,,
코소보,7942961738.309 (US$),7953156068.070 (US$),,,,,,-0.758 (annual %),,,,XK,
몬테네그로,5506767831.838 (US$),5542674764.890 (US$),1.71,1.75,,11.4,"17,511",-0.050 (annual %),18.045 (% of total),66.186 (% of total),15.770 (% of total),ME,Southern Europe
세르비아,50640650221.462 (US$),51475016532.129 (US$),1.46,1.46,,11.2,"15,218",-0.534 (annual %),15.367 (% of total),65.574 (% of total),19.059 (% of total),RS,Southern Europe
터크스케이커스제도,1113178000.000 (US$),1197415000.000 (US$),,,93.6,,,1.363 (annual %),,,,,
투발루,42588164.973 (US$),47271463.330 (US$),,,,,"5,409",1.169 (annual %),,,,TV,Polynesia
미국령버진아일랜드,3984000000.000 (US$),,2.29,2.05,95.9,,,-0.356 (annual %),19.256 (% of total),60.248 (% of total),20.496 (% of total),,
세계,86347154919771.900 (US$),87607919950618.100 (US$),2.52,2.47,56.2,8.4,"15,745",1.036 (annual %),25.491 (% of total),65.191 (% of total),9.318 (% of total),,
대만,,,1.11,1.15,,,,,,,,TW,Eastern Asia
서사하라,,,2.6,2.41,,,,,,,,,
안길라,,,,,100.0,,,,,,,,
영국령버진아일랜드,,,,,48.5,,,,,,,,
포클랜드,,,,,78.5,,,,,,,,
프랑스령기아나,,,,,85.8,,,,,,,,
몬트세랫,,,,,9.1,,,,,,,MS,Latin America and the Caribbean
교황청,,,,,100.0,,,,,,,VA,Southern Europe
나우루,,,,,,,"17,313",,,,,NR,Micronesia
과들루프,,,2.19,2.17,98.5,,,,,,,GP,Latin America and the Caribbean
남아메리카,,,,,,,,,,,,,
뉴칼레도니아,,,2.18,1.97,,,,0.243 (annual %),22.108 (% of total),68.194 (% of total),9.698 (% of total),,
레위니옹,,,2.4,2.27,99.7,,,,,,,RE,Sub-Saharan Africa
마르티니크,,,1.98,1.88,89.1,,,,,,,MQ,Latin America and the Caribbean
베네수엘라,,,2.4,2.28,88.3,10.3,"9,070",-0.281 (annual %),27.263 (% of total),64.765 (% of total),7.973 (% of total),VE,Latin America and the Caribbean
북아메리카,,,,,,,,,,,,,
북한,,,1.93,1.91,62.4,,,0.438 (annual %),19.843 (% of total),70.808 (% of total),9.349 (% of total),,
샤넬군도,,,1.58,1.5,31.0,,,0.922 (annual %),14.974 (% of total),67.110 (% of total),17.916 (% of total),,
시리아,,,3.1,2.84,55.5,5.1,"2,725",2.491 (annual %),30.775 (% of total),64.351 (% of total),4.874 (% of total),SY,Western Asia
아시아,,,,,,,,,,,,,
아프리카,,,,,,,,,,,,,
에리트레아,,,4.35,4.1,41.3,3.9,"1,708",,,,,ER,Sub-Saharan Africa
오세아니아,,,,,,,,,,,,,
유럽,,,,,,,,,,,,,
지브롤터,,,,,100.0,,,-0.045 (annual %),,,,GI,Southern Europe
프랑스령폴리네시아,,,2.04,1.95,,,,0.578 (annual %),22.223 (% of total),68.708 (% of total),9.068 (% of total),,
