국가,2018;국내총생산(GDP $),2019;국내총생산(GDP $),합계출산;2015,합계출산;2020,도시화율;2020,평균교육기간(년);2018,1인당 GNI(구매력환산기준 2011) (달러);2018,2020;연간 인구증가율,2020;0~14세 인구 구성비,2020;15~64세 인구 구성비,2020;65세이상 인구 구성비,학년전교육;남자,학년전교육;여자,학년전교육;합계,초등교육;남자,초등교육;여자,초등교육;합계,중등교육;남자,중등교육;여자,중등교육;합계,고등교육;남자,고등교육;여자,고등교육;합계,경제활동참여율;남자,경제활동참여율;여자
부룬디,3036937141.271,3012308945.627,5.95,5.45,13.7,3.1,660.0,3.076,45.252,52.368,2.38,13.9,14.2,14.0,122.9,124.8,123.9,48.1,50.4,49.3,8.4,3.8,6.1,,
캄보디아,24571753583.504,27089389786.968,2.7,2.52,24.2,4.8,3597.0,1.4,30.925,64.222,4.853,21.2,22.0,21.6,109.1,106.5,107.8,,,,14.1,12.2,13.1,,
카메룬,38694156862.992,39007354359.28,4.95,4.6,57.6,6.3,3291.0,2.554,42.064,55.22,2.716,35.6,36.2,35.9,116.0,104.5,110.3,,,,14.1,11.4,12.8,80.995,70.937
캐나다,1721822141487.59,1741576393905.98,1.6,1.53,81.6,13.3,43602.0,1.09,15.775,66.12,18.104,,,,101.1,100.8,100.9,113.0,114.5,113.8,59.1,79.3,68.9,69.173,60.673
카보베르데,1966983316.326,1981845740.706,2.5,2.29,66.7,6.2,6513.0,1.094,28.082,67.133,4.786,72.7,74.4,73.5,106.8,99.7,103.3,88.3,97.0,92.6,19.6,29.3,24.4,,
케이맨제도,5522625585.023,5935769350.774,,,100.0,,,1.182,,,,,,,,,,,,,,,,,
중앙아프리카공화국,2220979144.52,2220307318.749,5.1,4.75,42.2,4.3,777.0,1.767,43.542,53.66,2.798,2.9,3.0,2.9,,,,20.5,13.8,17.1,,,,,
차드,11239167048.492,11314951342.781,6.31,5.8,23.5,2.4,1716.0,2.959,46.49,51.011,2.499,,,,,,,,,,,,,,
칠레,297571693064.212,279385487344.526,1.85,1.65,87.7,10.4,21972.0,0.863,19.239,68.519,12.243,82.5,81.0,81.8,102.9,99.9,101.4,101.6,102.0,101.8,82.5,94.7,88.5,74.067,51.966
중국,13894817549380.3,14279937467431.0,1.64,1.69,61.4,7.9,16127.0,0.314,17.712,70.32,11.968,84.5,85.1,84.8,99.0,99.9,99.4,,,,44.7,54.0,49.1,74.836,59.842
홍콩,361691522612.745,363016373358.517,1.2,1.33,100.0,12.0,60221.0,0.342,12.672,69.131,18.197,105.3,111.4,108.2,105.7,110.1,107.8,106.9,103.7,105.3,70.3,78.5,74.3,67.041,53.658
콜롬비아,334198214706.209,323429888934.257,1.92,1.82,81.4,8.3,12896.0,1.074,22.184,68.756,9.061,,,,116.8,113.1,115.0,93.1,98.5,95.7,52.2,60.8,56.4,80.951,57.491
코모로,1178530633.815,1165839899.803,4.6,4.24,29.4,4.9,2426.0,2.174,39.02,57.874,3.106,20.1,20.8,20.4,101.6,97.2,99.4,53.9,57.2,55.5,,,,,
콩고민주공화국,46831342212.547,50400746171.424,6.4,5.96,,6.8,800.0,3.143,45.795,51.186,3.019,,,,,,,,,,,,,,
콩고,13642740884.136,12693562947.786,4.7,4.45,67.8,6.5,5804.0,2.525,41.27,55.967,2.763,,,,,,,,,,15.2,10.1,12.7,71.218,67.429
코스타리카,62335931464.498,63951114302.26,1.85,1.76,80.8,8.7,14790.0,0.918,20.828,68.919,10.253,80.3,80.8,80.5,110.2,111.5,110.8,124.6,133.5,128.9,49.6,62.2,55.7,75.931,48.207
코트디부아르,58011466450.864,58539424929.725,4.95,4.68,51.7,5.2,3589.0,2.541,41.508,55.609,2.883,8.1,8.2,8.2,102.9,93.8,98.4,55.6,41.3,48.4,11.1,7.6,9.3,,
크로아티아,61375222347.026,60752588976.318,1.49,1.45,57.6,11.4,23061.0,0.445,14.542,64.206,21.252,70.6,69.5,70.0,96.4,96.5,96.5,97.1,101.8,99.4,57.4,78.8,67.9,57.16,45.331
쿠바,100050000000.0,103131000000.0,1.71,1.62,77.2,11.8,7811.0,0.061,15.921,68.186,15.893,100.6,100.6,100.6,103.0,97.8,100.5,100.4,102.2,101.3,30.0,50.5,39.9,66.696,40.512
키프로스,25309818138.876,24949065263.629,1.38,1.34,66.8,12.1,33100.0,0.73,16.577,69.014,14.409,84.2,83.2,83.7,99.3,99.4,99.3,101.1,99.5,100.3,69.6,82.4,75.9,68.022,57.757
체코,248950103352.137,250686478649.064,1.48,1.64,74.1,12.7,31597.0,0.253,15.756,64.101,20.143,108.0,104.7,106.4,100.4,101.0,100.7,103.1,103.9,103.5,53.4,75.3,64.1,68.205,52.816
덴마크,356879499797.896,350104327658.675,1.73,1.76,88.1,12.6,48836.0,0.292,16.282,63.554,20.164,96.4,95.4,95.9,101.6,100.9,101.3,128.4,129.8,129.1,68.4,93.6,80.6,66.184,58.157
지부티,3012820409.633,3324634256.133,3.1,2.76,78.1,4.0,3601.0,1.473,28.912,66.381,4.706,6.7,7.2,7.0,67.7,71.9,69.6,48.1,47.6,47.8,,,,,
도미니카연방,551074074.074,574607407.407,,,71.1,7.8,9245.0,0.255,,,,,,,,,,,,,,,,,
도미니카공화국,85555378042.82,88941299733.502,2.45,2.36,82.5,7.9,15074.0,1.009,27.439,65.033,7.528,50.4,51.6,51.0,111.5,104.0,107.8,76.5,83.0,79.7,43.0,77.0,59.9,,
에콰도르,107562008000.0,108108009000.0,2.56,2.44,64.2,9.0,10141.0,1.539,27.392,65.017,7.591,68.8,72.2,70.4,102.9,104.2,103.5,100.8,103.6,102.2,,,,80.997,55.305
이집트,249712999437.254,303080865603.645,3.45,3.33,42.8,7.3,10744.0,1.92,33.921,60.747,5.332,29.1,28.7,28.9,106.0,106.3,106.1,87.4,85.9,86.7,34.6,35.8,35.2,70.883,22.076
엘살바도르,26020850000.0,26896660000.0,2.17,2.05,73.4,6.9,6973.0,0.505,26.591,64.758,8.651,64.5,65.5,65.0,97.8,94.5,96.2,71.8,71.2,71.5,27.0,30.2,28.6,75.853,45.504
적도기니,13097012189.4,11417278044.986,4.99,4.55,73.1,5.6,17796.0,3.408,36.779,60.839,2.381,,,,,,,,,,,,,,
에스토니아,30631142226.853,31471100656.243,1.59,1.59,69.2,13.0,30379.0,0.313,16.498,63.129,20.373,92.7,92.0,92.4,97.2,97.3,97.2,116.2,118.9,117.5,55.4,84.8,69.6,70.692,56.809
에티오피아,84269348327.345,95912590628.141,4.85,4.3,21.7,2.8,1782.0,2.541,39.918,56.545,3.537,,,,,,,,,,,,,85.762,73.565
페로제도,3051341335.952,3126293219.78,,,42.4,,,0.385,,,,,,,,,,,,,,,,,
피지,5581393120.629,5496250694.316,2.79,2.79,57.2,10.9,9110.0,0.726,29.011,65.171,5.817,,,,,,,,,,,,,76.236,38.601
핀란드,275984345123.137,268966065200.0,1.77,1.53,85.5,12.4,41779.0,0.165,15.865,61.58,22.554,83.7,83.4,83.6,100.4,99.9,100.2,146.8,161.5,154.0,81.0,95.7,88.2,62.528,55.337
프랑스,2787863958885.49,2715518274227.45,1.98,1.85,81.0,11.4,40511.0,0.212,17.654,61.593,20.753,106.0,106.0,106.0,102.8,102.2,102.5,103.5,104.1,103.8,58.7,72.8,65.6,59.593,50.648
가봉,16862282413.878,16874450215.135,4.1,4.0,90.1,8.3,15794.0,2.417,37.264,59.207,3.529,,,,,,,,,,,,,61.909,43.842
감비아,1670670668.594,1826073739.825,5.5,5.25,62.6,3.7,1490.0,2.895,43.95,53.519,2.531,36.4,39.0,37.7,91.5,99.1,95.2,,,,,,,,
조지아,17599700090.762,17477255562.258,2.0,2.06,59.5,12.8,9570.0,0.166,20.22,64.526,15.253,,,,99.8,100.9,100.4,102.9,104.0,103.4,53.3,60.7,56.8,80.871,57.376
독일,3963767526250.98,3861123558039.21,1.43,1.59,77.5,14.1,46946.0,0.177,13.956,64.357,21.687,109.6,108.6,109.1,103.9,104.2,104.0,101.4,95.2,98.4,69.8,70.7,70.2,66.467,55.295
가나,65315955122.808,67234292582.761,4.18,3.89,57.3,7.2,4099.0,2.131,37.131,59.728,3.14,115.6,118.1,116.8,105.0,106.1,105.5,69.9,68.1,69.0,18.5,13.4,16.0,71.831,63.46
그리스,212249754841.292,205326724570.227,1.34,1.3,79.7,10.5,24909.0,0.056,13.656,64.06,22.284,73.9,74.9,74.4,99.5,99.6,99.6,107.5,101.4,104.5,136.2,137.0,136.6,59.299,43.907
그린란드,3051626389.637,,,,,,,0.252,,,,,,,,,,,,,,,,,
그레나다,1168696296.296,1211403703.704,2.18,2.07,36.5,8.8,12684.0,0.461,23.776,66.431,9.793,95.7,101.4,98.5,114.1,108.7,111.4,112.2,116.8,114.5,90.3,110.3,100.2,,
괌,6051000000.0,6311000000.0,2.45,2.32,94.9,,,0.886,23.86,65.606,10.534,,,,,,,,,,,,,,
과테말라,73208583758.911,77020015201.32,3.19,2.9,51.8,6.5,7378.0,1.52,33.342,61.616,5.042,48.6,49.5,49.0,102.7,99.6,101.2,54.1,51.5,52.8,,,,86.365,39.924
기니,11857030336.527,13513809258.208,5.13,4.74,36.9,2.7,2211.0,2.792,43.049,53.999,2.952,,,,,,,,,,,,,,
기니비사우,1504630120.993,1439638443.381,4.9,4.51,44.2,3.3,1593.0,2.421,41.927,55.187,2.886,,,,,,,,,,,,,,
가이아나,4787635821.461,5173759527.507,2.6,2.47,26.8,8.5,7615.0,0.482,27.732,65.269,7.0,,,,,,,,,,,,,,
아이티,15965670198.455,14332163266.398,3.26,2.96,57.1,5.4,1665.0,1.231,32.474,62.351,5.175,,,,,,,,,,,,,,
온두라스,24067778953.842,25089976946.774,2.73,2.49,58.4,6.6,4258.0,1.613,30.588,64.439,4.973,40.8,41.5,41.1,91.6,91.5,91.5,48.6,55.9,52.2,20.7,28.1,24.3,85.828,52.096
헝가리,160431092908.646,163503650313.081,1.33,1.49,71.9,11.9,27144.0,0.219,14.409,65.428,20.163,83.7,80.8,82.3,101.1,100.5,100.8,103.4,103.6,103.5,43.3,53.9,48.5,65.335,48.506
아이슬란드,26224228693.395,24836714771.464,1.98,1.77,93.9,12.5,47566.0,1.613,19.424,64.954,15.622,92.7,95.6,94.1,100.4,100.3,100.4,118.1,116.9,117.5,50.6,94.4,71.8,,
인도,2701111782774.57,2870504096717.48,2.4,2.24,34.9,6.5,6829.0,0.989,26.161,67.266,6.574,14.3,13.1,13.7,105.6,121.1,113.0,73.0,74.1,73.5,26.9,28.0,27.4,76.009,20.335
인도네시아,1042271531011.99,1119091259074.62,2.45,2.32,56.6,8.0,11256.0,1.065,25.936,67.801,6.263,66.3,60.0,63.2,107.5,104.2,105.9,86.0,88.2,87.1,34.0,39.0,36.4,81.766,53.153
이란,294356680624.658,258245497664.394,1.91,2.15,75.9,10.0,18166.0,1.293,24.745,68.691,6.564,,,,107.7,113.9,110.7,87.9,84.7,86.3,73.3,62.9,68.1,71.096,17.344
이라크,212271807144.367,222434137055.838,4.25,3.68,70.9,7.3,15365.0,2.295,37.714,58.844,3.443,,,,,,,,,,,,,74.282,11.83
아일랜드,386155676371.47,398590210120.337,1.97,1.84,63.7,12.5,55660.0,1.216,20.832,64.59,14.578,164.4,162.4,163.4,101.0,100.7,100.9,126.3,124.3,125.3,73.7,82.0,77.8,67.935,55.783
이스라엘,370455651179.958,394652208893.138,3.04,3.04,92.6,13.0,33650.0,1.783,27.828,59.757,12.414,110.8,110.8,110.8,104.4,105.4,104.9,104.2,106.0,105.1,52.8,74.5,63.4,68.466,59.692
이탈리아,2092138739019.84,2004913357800.0,1.42,1.33,71.0,10.2,36141.0,0.294,12.987,63.711,23.302,95.0,92.8,94.0,103.4,100.3,101.9,101.6,100.9,101.3,53.0,71.5,61.9,58.711,40.66
